experimentRun,subRun,evaluate_original,start_block_height,end_block_height,kafka_partitions,batching,match_on_previous_add,heap_size,bypass_kafka,check_correctness,endTimePart1,endTimePart2,totalExecutionTime,timeOutReached
7,5,False,1,10001,1,100,True,5,False,False,1412.3059525489807,1404.9651510715485,1414.3209929466248,False
8,1,False,1,10001,1,0,True,8,False,False,1408.2078926563263,1406.536376953125,1409.2208964824677,False
8,2,False,1,10001,1,0,True,8,False,False,1414.0455429553986,1413.90922665596,1414.055067539215,False
8,3,False,1,10001,1,0,True,8,False,False,1418.1367087364197,1418.0209538936615,1418.1465606689453,False
8,4,False,1,10001,1,0,True,8,False,False,1408.4757997989655,1409.3590507507324,1409.4882791042328,False
8,5,False,1,10001,1,0,True,8,False,False,1428.0070548057556,1427.8936631679535,1428.0195026397705,False
9,1,False,1,10001,1,0,True,16,False,False,1420.1588127613068,1420.0481169223785,1420.1783850193024,False
9,2,False,1,10001,1,0,True,16,False,False,1419.8139526844025,1420.6972544193268,1420.8261058330536,False
9,3,False,1,10001,1,0,True,16,False,False,1420.4451370239258,1420.3327741622925,1420.4547936916351,False
9,4,False,1,10001,1,0,True,16,False,False,1421.8231136798859,1422.7029531002045,1422.8359551429749,False
9,5,False,1,10001,1,0,True,16,False,False,1429.260398387909,1430.1469616889954,1430.2733738422394,False
10,1,False,1,10001,1,0,False,5,False,False,1415.2153911590576,1415.09650182724,1415.2264513969421,False
10,2,False,1,10001,1,0,False,5,False,False,1412.8029353618622,1413.6883239746094,1413.8151924610138,False
10,3,False,1,10001,1,0,False,5,False,False,1409.0114896297455,1408.8912093639374,1409.0208530426025,False
10,4,False,1,10001,1,0,False,5,False,False,1415.2327852249146,1416.1188344955444,1416.2448570728302,False
10,5,False,1,10001,1,0,False,5,False,False,1407.0316698551178,1406.9177060127258,1407.042091369629,False
11,1,False,1,10001,1,0,True,5,True,False,494.15626525878906,494.0908932685852,494.1578299999237,False
11,2,False,1,10001,1,0,True,5,True,False,489.42706322669983,489.4035573005676,489.42929434776306,False
11,3,False,1,10001,1,0,True,5,True,False,492.6870458126068,492.6629731655121,492.6887013912201,False
11,4,False,1,10001,1,0,True,5,True,False,494.5970456600189,494.59273409843445,494.6185510158539,False
11,5,False,1,10001,1,0,True,5,True,False,495.4599664211273,495.43423795700073,495.4615671634674,False
1,1,True,591116,591126,1,0,True,5,False,False,1767.215571641922,1766.5376510620117,1767.2459192276,False
1,2,True,591116,591126,1,0,True,5,False,False,1264.5380654335022,1263.9190082550049,1264.5582523345947,False
1,3,True,591116,591126,1,0,True,5,False,False,1204.7541544437408,1204.0696330070496,1204.776428937912,False
1,4,True,591116,591126,1,0,True,5,False,False,1196.6916139125824,1196.043540239334,1196.7117154598236,False
1,5,True,591116,591126,1,0,True,5,False,False,1190.1517794132233,1189.4835987091064,1190.1709842681885,False
2,1,True,591116,591126,2,0,True,5,False,False,1190.5070717334747,1189.8735325336456,1190.5376098155975,False
2,2,True,591116,591126,2,0,True,5,False,False,1185.0327303409576,1184.390439748764,1185.0531468391418,False
2,3,True,591116,591126,2,0,True,5,False,False,1189.2854313850403,1188.6575200557709,1189.305860042572,False
