"Date","Price","Open","High","Low","Vol.","Change %"
"May 11, 2018","7,031.6","7,570.0","7,570.0","6,977.0","8.80K","-7.11%"
"May 10, 2018","7,570.0","7,846.8","7,911.2","7,553.6","4.23K","-3.53%"
"May 09, 2018","7,846.8","7,730.5","7,897.9","7,575.0","4.31K","1.50%"
"May 08, 2018","7,730.8","7,849.5","7,926.8","7,622.5","4.90K","-1.51%"
"May 07, 2018","7,849.5","8,016.9","8,026.2","7,702.2","-","-2.07%"
"May 06, 2018","8,015.2","8,183.4","8,252.2","7,850.0","-","-2.06%"
"May 05, 2018","8,183.4","8,074.8","8,311.4","8,050.0","5.23K","1.41%"
"May 04, 2018","8,070.0","8,092.9","8,160.0","7,910.0","4.36K","-0.34%"
"May 03, 2018","8,097.8","7,695.6","8,163.9","7,625.3","-","5.23%"
"May 02, 2018","7,695.6","7,545.3","7,730.8","7,477.0","4.78K","2.05%"
"May 01, 2018","7,541.1","7,640.9","7,643.4","7,331.0","-","-1.30%"
"Apr 30, 2018","7,640.8","7,749.0","7,779.0","7,520.6","0.00K","-1.40%"
"Apr 29, 2018","7,749.0","7,690.7","7,842.1","7,576.0","4.42K","0.76%"
"Apr 28, 2018","7,690.7","7,355.3","7,782.2","7,314.1","5.95K","4.49%"
"Apr 27, 2018","7,360.5","7,636.2","7,773.4","7,342.0","0.01K","-3.79%"
"Apr 26, 2018","7,650.3","7,284.5","7,662.3","7,099.1","0.00K","5.22%"
"Apr 25, 2018","7,271.0","7,883.3","7,979.0","7,146.3","-","-7.85%"
"Apr 24, 2018","7,890.5","7,316.8","7,950.0","7,310.7","-","7.84%"
"Apr 23, 2018","7,316.7","7,170.9","7,355.0","7,152.7","4.70K","2.03%"
"Apr 22, 2018","7,170.9","7,268.4","7,384.9","7,122.9","5.60K","-1.34%"
"Apr 21, 2018","7,268.4","7,226.0","7,381.9","7,017.0","5.99K","0.58%"
"Apr 20, 2018","7,226.8","6,714.0","7,267.9","6,676.0","9.58K","7.48%"
"Apr 19, 2018","6,724.0","6,597.5","6,737.4","6,535.1","5.90K","1.92%"
"Apr 18, 2018","6,597.5","6,383.2","6,659.8","6,370.6","5.44K","3.24%"
"Apr 17, 2018","6,390.5","6,501.4","6,600.1","6,326.4","6.17K","-1.74%"
"Apr 16, 2018","6,503.7","6,778.9","6,823.0","6,375.8","7.00K","-4.08%"
"Apr 15, 2018","6,780.0","6,502.8","6,833.0","6,502.7","5.51K","4.27%"
"Apr 14, 2018","6,502.5","6,394.6","6,621.7","6,351.0","4.97K","1.79%"
"Apr 13, 2018","6,388.0","6,423.0","6,686.0","6,287.1","12.05K","-0.54%"
"Apr 12, 2018","6,423.0","5,603.8","6,499.9","5,478.8","-","14.62%"
"Apr 11, 2018","5,603.8","5,526.9","5,637.5","5,505.1","4.26K","1.39%"
"Apr 10, 2018","5,526.8","5,500.0","5,569.9","5,405.3","4.79K","0.49%"
"Apr 09, 2018","5,500.0","5,714.6","5,850.8","5,375.0","8.94K","-3.76%"
"Apr 08, 2018","5,714.6","5,608.2","5,784.3","5,592.0","3.61K","1.90%"
"Apr 07, 2018","5,608.2","5,394.1","5,729.5","5,381.4","5.81K","4.01%"
"Apr 06, 2018","5,391.9","5,520.7","5,600.6","5,310.0","7.50K","-2.33%"
"Apr 05, 2018","5,520.7","5,528.2","5,665.1","5,358.3","10.10K","-0.14%"
"Apr 04, 2018","5,528.2","6,049.0","6,055.4","5,451.7","11.36K","-8.61%"
"Apr 03, 2018","6,049.0","5,732.0","6,150.3","5,710.0","9.52K","5.50%"
"Apr 02, 2018","5,733.7","5,523.9","5,774.2","5,486.1","-","3.80%"
"Apr 01, 2018","5,523.9","5,615.0","5,702.9","5,250.0","11.08K","-1.62%"
"Mar 31, 2018","5,615.0","5,526.0","5,841.9","5,517.9","8.52K","1.57%"
"Mar 30, 2018","5,528.0","5,737.0","5,908.2","5,315.6","19.31K","-3.71%"
"Mar 29, 2018","5,741.0","6,440.7","6,467.5","5,611.0","16.93K","-10.86%"
"Mar 28, 2018","6,440.7","6,305.1","6,562.1","6,247.6","6.22K","2.14%"
"Mar 27, 2018","6,305.5","6,551.9","6,618.5","6,242.6","8.93K","-3.72%"
"Mar 26, 2018","6,548.9","6,865.6","6,898.9","6,325.3","9.67K","-4.65%"
"Mar 25, 2018","6,868.1","6,924.6","7,074.7","6,805.3","5.12K","-0.82%"
"Mar 24, 2018","6,924.6","7,236.7","7,305.7","6,895.8","-","-4.42%"
"Mar 23, 2018","7,245.2","7,089.3","7,245.2","6,724.3","9.80K","2.20%"
